PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.Quantity	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.MS1Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.MS1Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.MS1Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.MS1Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.MS1Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.MS1Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.MS1Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.MS1Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.MS1Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.MS1Quantity	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.MS2Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.MS2Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.MS2Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.MS2Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.MS2Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.MS2Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.MS2Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.MS2Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.MS2Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.MS2Quantity
A0A075B6K4	IGLV3-10	Immunoglobulin lambda variable 3-10	A0A075B6K4	LV310_HUMAN	166074.578125	104382.34375	154217.171875	45654.875	152827.640625	134818.125	40453.2578125	87525.5390625	204112.078125	1541000.375	166074.578125	104382.34375	154217.171875	45654.875	152827.640625	134818.125	40453.2578125	87525.5390625	204112.078125	1541000.375	46533.171875	28646.21484375	44854.20703125	26040.30078125	35983.55078125	37744.6484375	17867.251953125	28737.880859375	55112.04296875	353367.8125
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9	A0A075B6K5	LV39_HUMAN	576373.1875	63240.375	105627.734375	87096.640625	165148.296875	172424.734375	173937.484375	1265816.625	359586.03125	460580.34375	576373.1875	63240.375	105627.734375	87096.640625	165148.296875	172424.734375	173937.484375	1265816.625	359586.03125	460580.34375	92753.6640625	16108.1748046875	22403.693359375	24707.8203125	40694.16015625	43412.35546875	43569.9296875	309722.96875	86553.984375	122978.765625
A0A075B6K6	IGLV4-3	Immunoglobulin lambda variable 4-3	A0A075B6K6	LV403_HUMAN	221457.21875	225179.3125	131335.53125	344288.3125	166500.9375	18302722	237828.890625	132533.28125	524137.3125	15018337	221457.21875	225179.3125	131335.53125	344288.3125	166500.9375	18302722	237828.890625	132533.28125	524137.3125	15018337	113028.421875	117101.4453125	77322.078125	196657.0625	97181.9375	7875314	181083.234375	81867.3359375	292758.0625	6774092.5
A0A075B6P5;P01615	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28	A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	282625.28125	92775.9765625	257201.53125	102893.4609375	155086.46875	162776.453125	89455.8984375	235072.140625	209539.46875	1562064.125	282625.28125	92775.9765625	257201.53125	102893.4609375	155086.46875	162776.453125	89455.8984375	235072.140625	209539.46875	1562064.125	74782.171875	27659.3515625	63837.5234375	30634.83203125	43034.921875	63401.31640625	30758.5078125	71014.3671875	72949.9375	408846.1875
A0A075B6Q5	IGHV3-64	Immunoglobulin heavy variable 3-64	A0A075B6Q5	HV364_HUMAN	54858.75	4902.76123046875	11567.5322265625	12772.24609375	11252.447265625	7973.35009765625	9848.6083984375	7748.26025390625	2934.08349609375	117335.6328125	54858.75	4902.76123046875	11567.5322265625	12772.24609375	11252.447265625	7973.35009765625	9848.6083984375	7748.26025390625	2934.08349609375	117335.6328125	11658.9453125	1921.5205078125	4064.52001953125	17510.447265625	3967.7255859375	2937.45776367188	3532.10229492188	2864.95263671875	1227.57385253906	60307.55859375
A0A075B6R9;A0A0C4DH68	IGKV2D-24;IGKV2-24	Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24	A0A075B6R9;A0A0C4DH68	KVD24_HUMAN;KV224_HUMAN	3028040.75	1060325.5	1987320	3404881	1203708.75	522653.96875	305773.25	1081976.125	1513013	8070978	3028040.75	1060325.5	1987320	3404881	1203708.75	522653.96875	305773.25	1081976.125	1513013	8070978	608493.5	227648.671875	436975.90625	688602.75	198434	91290.0703125	61830.09765625	182975.546875	231666.71875	1470743.375
A0A075B6S2	IGKV2D-29	Immunoglobulin kappa variable 2D-29	A0A075B6S2	KVD29_HUMAN	121492.125	26251.033203125	38591.43359375	30972.96875	12118.822265625	27171.4140625	8132.29150390625	88840.25	71361.296875	95660.4140625	121492.125	26251.033203125	38591.43359375	30972.96875	12118.822265625	27171.4140625	8132.29150390625	88840.25	71361.296875	95660.4140625	46870.01953125	8611.3388671875	7128.47607421875	16958.58203125	3299.65893554688	11680.4482421875	7890.2080078125	40000.31640625	33663.515625	48414.953125
A0A075B6S5	IGKV1-27	Immunoglobulin kappa variable 1-27	A0A075B6S5	KV127_HUMAN	61776.953125	9206.2724609375	69005.234375	44925.80859375	37974.703125	9346.0771484375	9054.4912109375	17352.673828125	266640.375	164547.921875	61776.953125	9206.2724609375	69005.234375	44925.80859375	37974.703125	9346.0771484375	9054.4912109375	17352.673828125	266640.375	164547.921875	25789.517578125	3492.67407226563	18313.12109375	23493.37109375	10479.40625	6855.47314453125	3149.5302734375	6188.75390625	112320.265625	50047.48828125
A0A075B743;A0A075B7B5;A0A286YEY3;B7ZM87;G5EA48;O75044;P0DJJ0;P0DMP2;Q7Z6B7	SRGAP2;SRGAP2;SRGAP2B;SRGAP2;SRGAP1;SRGAP2;SRGAP2C;SRGAP2B;SRGAP1	SLIT-ROBO Rho GTPase-activating protein 2 (Fragment);SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase activating protein 1, isoform CRA_a;SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2C;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 1	A0A075B743;A0A075B7B5;A0A286YEY3;B7ZM87;G5EA48;O75044;P0DJJ0;P0DMP2;Q7Z6B7	A0A075B743_HUMAN;A0A075B7B5_HUMAN;A0A286YEY3_HUMAN;B7ZM87_HUMAN;G5EA48_HUMAN;SRGP2_HUMAN;SRG2C_HUMAN;SRG2B_HUMAN;SRGP1_HUMAN	24947.908203125	34034.87109375	18780.513671875	12520.9482421875	29228.65625	14549.564453125	17631.185546875	2757.0341796875	5196.00146484375	3975.36254882813	24947.908203125	34034.87109375	18780.513671875	12520.9482421875	29228.65625	14549.564453125	17631.185546875	2757.0341796875	5196.00146484375	3975.36254882813	15941.3154296875	24333.3828125	19557.4140625	17441.3828125	28763.162109375	17093.548828125	31483.494140625	17160.30078125	19173.3125	1600.17761230469
A0A075B7C5;A0A494C1Q1;P13501	CCL5	C-C motif chemokine 5 (Fragment);C-C motif chemokine 5;C-C motif chemokine 5	A0A075B7C5;A0A494C1Q1;P13501	A0A075B7C5_HUMAN;A0A494C1Q1_HUMAN;CCL5_HUMAN	452084.96875	110214.0859375	422763.21875	152957.84375	92518.0625	13430.2724609375	88911.84375	3630.48217773438	2982.19311523438	43155.0625	452084.96875	110214.0859375	422763.21875	152957.84375	92518.0625	13430.2724609375	88911.84375	3630.48217773438	2982.19311523438	43155.0625	139428.40625	36825.33984375	117141.953125	58870.80078125	35964.03515625	10135.7490234375	39589.14453125	1317.5712890625	1109.7255859375	14159.8310546875
A0A087WT12;A0A087X247;A0A087X2I2;K7EJ20;K7EKX7;K7ENB4;K7ERP4;P36969;R4GNE4	GPX4	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase (Fragment);Glutathione peroxidase;Glutathione peroxidase;Glutathione peroxidase (Fragment);Glutathione peroxidase;Glutathione peroxidase (Fragment);Phospholipid hydroperoxide glutathione peroxidase;Glutathione peroxidase (Fragment)	A0A087WT12;A0A087X247;A0A087X2I2;K7EJ20;K7EKX7;K7ENB4;K7ERP4;P36969;R4GNE4	A0A087WT12_HUMAN;A0A087X247_HUMAN;A0A087X2I2_HUMAN;K7EJ20_HUMAN;K7EKX7_HUMAN;K7ENB4_HUMAN;K7ERP4_HUMAN;GPX4_HUMAN;R4GNE4_HUMAN	51518.8515625	74546.5390625	125719.5625	106740.5234375	85318.21875	64975.9296875	93428.296875	63504.3203125	55124.88671875	28515.728515625	51518.8515625	74546.5390625	125719.5625	106740.5234375	85318.21875	64975.9296875	93428.296875	63504.3203125	55124.88671875	28515.728515625	461992.1875	2056961.75	2400361.75	221102.171875	147902.203125	125242.5390625	122418.53125	665846.125	128786.6171875	310133.1875
A0A087WT59;P02766	TTR	Transthyretin	A0A087WT59;P02766	A0A087WT59_HUMAN;TTHY_HUMAN	660529.875	1691951	1453946.625	648079.125	1645429.125	5690894.5	2990943.75	7111143.5	2966720.25	3761290.25	660529.875	1691951	1453946.625	648079.125	1645429.125	5690894.5	2990943.75	7111143.5	2966720.25	3761290.25	121801.59375	269556.84375	256749.9375	102345.90625	239992.046875	685189.5625	379383.46875	905402.25	419635.03125	534786.8125
A0A087WTF0;A2A3K4	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1	A0A087WTF0;A2A3K4	A0A087WTF0_HUMAN;PTPC1_HUMAN	124061.34375	264058.90625	68148.2890625	215462.15625	74191.8203125	752122.5	632254.75	1065079.25	725297.6875	231903.578125	124061.34375	264058.90625	68148.2890625	215462.15625	74191.8203125	752122.5	632254.75	1065079.25	725297.6875	231903.578125	56406.19140625	95772.25	39340.53515625	83389.8515625	34130.75390625	327857.1875	254692.375	397833.5	329131.96875	81888.9375
A0A087WTK0;A0A087WVC6;Q12913	PTPRJ	Protein-tyrosine-phosphatase;Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta	A0A087WTK0;A0A087WVC6;Q12913	A0A087WTK0_HUMAN;A0A087WVC6_HUMAN;PTPRJ_HUMAN	293317.6875	371091.09375	344304.78125	286106.15625	206783.296875	139464.375	133606.625	124053.296875	84204.8125	167228.5	293317.6875	371091.09375	344304.78125	286106.15625	206783.296875	139464.375	133606.625	124053.296875	84204.8125	167228.5	67275.203125	86670.640625	75009.1640625	64898.24609375	48777.6875	31694.53515625	32927.6796875	31135.7109375	22663.9375	41949.60546875
A0A087WTP2;A0A087WVN4;A0A087X1D8;P14324	FDPS	Farnesyl pyrophosphate synthase;Farnesyl pyrophosphate synthase (Fragment);Farnesyl pyrophosphate synthase (Fragment);Farnesyl pyrophosphate synthase	A0A087WTP2;A0A087WVN4;A0A087X1D8;P14324	A0A087WTP2_HUMAN;A0A087WVN4_HUMAN;A0A087X1D8_HUMAN;FPPS_HUMAN	121161.609375	83601.90625	107086.6171875	116957.625	83801.6875	44554.46484375	45297.14453125	31223.14453125	28039.39453125	53440.57421875	121161.609375	83601.90625	107086.6171875	116957.625	83801.6875	44554.46484375	45297.14453125	31223.14453125	28039.39453125	53440.57421875	24472.791015625	19564.103515625	26539.0078125	19386.890625	19149.744140625	5946.38623046875	7390.68701171875	7823.197265625	5078.92578125	11800.5595703125
A0A087WTQ2;A0A3B3IT47;C9JGR9;E7EQ49;Q9Y2I8	WDR37	WD repeat-containing protein 37;WD repeat-containing protein 37;WD repeat-containing protein 37 (Fragment);WD repeat-containing protein 37;WD repeat-containing protein 37	A0A087WTQ2;A0A3B3IT47;C9JGR9;E7EQ49;Q9Y2I8	A0A087WTQ2_HUMAN;A0A3B3IT47_HUMAN;C9JGR9_HUMAN;E7EQ49_HUMAN;WDR37_HUMAN	12989.64453125	10087.4033203125	16929.89453125	12990.5146484375	8469.8916015625	5212.9228515625	5414.765625	12215.6064453125	4935.15771484375	5073.349609375	12989.64453125	10087.4033203125	16929.89453125	12990.5146484375	8469.8916015625	5212.9228515625	5414.765625	12215.6064453125	4935.15771484375	5073.349609375	10015.87109375	14925.412109375	23094.794921875	13206.958984375	7507.09716796875	13894.32421875	16600.4765625	4262.56689453125	1932.59729003906	1979.74389648438
A0A087WU13;A0A2R8Y478;A0A7I2V3T7;A6NNI4;F5GXT1;G8JLH6;P21926	CD9	Tetraspanin;CD9 antigen;Tetraspanin;CD9 antigen;Tetraspanin;Tetraspanin;CD9 antigen	A0A087WU13;A0A2R8Y478;A0A7I2V3T7;A6NNI4;F5GXT1;G8JLH6;P21926	A0A087WU13_HUMAN;A0A2R8Y478_HUMAN;A0A7I2V3T7_HUMAN;A6NNI4_HUMAN;F5GXT1_HUMAN;G8JLH6_HUMAN;CD9_HUMAN	7325039	5840381.5	6026864.5	6441189	6166822.5	2201730.25	2412094.5	2387978.75	1397863.75	4778289.5	7325039	5840381.5	6026864.5	6441189	6166822.5	2201730.25	2412094.5	2387978.75	1397863.75	4778289.5	2738545.5	2047727.75	2013564.75	2457018.5	2260679.5	777034.8125	887174.375	827841.25	481856.53125	1656904.125
A0A087WU29;A0A0C4DFT7;P02724	GYPA	Glycophorin;Glycophorin;Glycophorin-A	A0A087WU29;A0A0C4DFT7;P02724	A0A087WU29_HUMAN;A0A0C4DFT7_HUMAN;GLPA_HUMAN	218630.765625	282139.84375	199683.25	301075.15625	253865.421875	913189.75	366493.59375	435695.96875	746806.0625	308345.90625	218630.765625	282139.84375	199683.25	301075.15625	253865.421875	913189.75	366493.59375	435695.96875	746806.0625	308345.90625	91487.28125	125004.9765625	96043.4296875	112333.7578125	119390.3359375	370399.8125	145495.765625	166681.59375	242363.265625	158103.28125
A0A087WU31;A0A0A0MTB7;E9PE15;P51790	CLCN3	Chloride channel protein;Chloride channel protein;Chloride channel protein (Fragment);H(+)/Cl(-) exchange transporter 3	A0A087WU31;A0A0A0MTB7;E9PE15;P51790	A0A087WU31_HUMAN;A0A0A0MTB7_HUMAN;E9PE15_HUMAN;CLCN3_HUMAN	3963.72924804688	18786.720703125	89706.5625	9757.130859375	19617.349609375	10055.8525390625	17868.23046875	12570.1416015625	13491.130859375	18216.595703125	3963.72924804688	18786.720703125	89706.5625	9757.130859375	19617.349609375	10055.8525390625	17868.23046875	12570.1416015625	13491.130859375	18216.595703125	1596.09008789063	102767.734375	119648.0546875	12118.6142578125	44700.26171875	27690.40234375	16789.01953125	31741.947265625	21864.421875	54855.72265625
A0A087WUJ1;Q9H400	LIME1	Lck-interacting transmembrane adapter 1 (Fragment);Lck-interacting transmembrane adapter 1	A0A087WUJ1;Q9H400	A0A087WUJ1_HUMAN;LIME1_HUMAN	2602.7568359375	18759.60546875	7703.048828125	7943.986328125	6487.79541015625	5931.48876953125	891.128234863281	6960.06494140625	5638.33349609375	7706.1396484375	2602.7568359375	18759.60546875	7703.048828125	7943.986328125	6487.79541015625	5931.48876953125	891.128234863281	6960.06494140625	5638.33349609375	7706.1396484375	851.3603515625	8219.77734375	1732.21569824219	3185.43383789063	1734.15905761719	3159.28247070313	1434.75769042969	2594.12329101563	2661.53833007813	1939.96301269531
A0A087WUW9;Q9NXU5	ARL15	ADP-ribosylation factor-like protein 15	A0A087WUW9;Q9NXU5	A0A087WUW9_HUMAN;ARL15_HUMAN	60989.3515625	88479.09375	41753.79296875	58251.38671875	16038.1708984375	46658.34765625	31935.29296875	48675.625	49107.015625	39564.76171875	60989.3515625	88479.09375	41753.79296875	58251.38671875	16038.1708984375	46658.34765625	31935.29296875	48675.625	49107.015625	39564.76171875	21214.64453125	31610.634765625	14975.9580078125	22115.42578125	7272.43408203125	16671.31640625	14770.4443359375	21051.115234375	22325.439453125	14256.474609375
A0A087WVC4;A0A0A0MS54;P22694	PRKACB	cAMP-dependent protein kinase;cAMP-dependent protein kinase;cAMP-dependent protein kinase catalytic subunit beta	A0A087WVC4;A0A0A0MS54;P22694	A0A087WVC4_HUMAN;A0A0A0MS54_HUMAN;KAPCB_HUMAN	170762.765625	55706.51953125	105250.6328125	219734.78125	128570.6015625	24969.625	21405.7734375	17334.984375	15416.69921875	23706.548828125	170762.765625	55706.51953125	105250.6328125	219734.78125	128570.6015625	24969.625	21405.7734375	17334.984375	15416.69921875	23706.548828125	33359.95703125	34351.140625	56496.08984375	39288.00390625	27827.96875	11290.0302734375	9623.9541015625	5012.54833984375	4888.7685546875	5751.3955078125
A0A087WVJ0;A0A087WWM1;A0A087X2A4;A0A0A0MSH4;A0A0C4DGW3;P15941	MUC1	Mucin-1 (Fragment);Mucin-1;Mucin-1;Mucin-1;Mucin-1;Mucin-1	A0A087WVJ0;A0A087WWM1;A0A087X2A4;A0A0A0MSH4;A0A0C4DGW3;P15941	A0A087WVJ0_HUMAN;A0A087WWM1_HUMAN;A0A087X2A4_HUMAN;A0A0A0MSH4_HUMAN;A0A0C4DGW3_HUMAN;MUC1_HUMAN	7288.0712890625	126398.28125	437797.875	49299.81640625	9094.4326171875	5773.1083984375	8174.25146484375	5713.96826171875	4389.09130859375	5953.6953125	7288.0712890625	126398.28125	437797.875	49299.81640625	9094.4326171875	5773.1083984375	8174.25146484375	5713.96826171875	4389.09130859375	5953.6953125	2282.95654296875	21384.181640625	64797.609375	15182.2568359375	3306.57006835938	2390.40625	3356.31958007813	2390.40625	1666.83764648438	2576.78198242188
A0A087WVN8;Q13043	STK4	Serine/threonine-protein kinase 4 (Fragment);Serine/threonine-protein kinase 4	A0A087WVN8;Q13043	A0A087WVN8_HUMAN;STK4_HUMAN	8840.9609375	4494.64453125	6406.177734375	13616.03125	8063.06103515625	3941.80590820313	1213.80603027344	4056.31665039063	3060.552734375	3146.25268554688	8840.9609375	4494.64453125	6406.177734375	13616.03125	8063.06103515625	3941.80590820313	1213.80603027344	4056.31665039063	3060.552734375	3146.25268554688	1644.29345703125	1177.57568359375	2426.7392578125	2998.84521484375	1198.80615234375	1588.38244628906	563.488647460938	1628.58068847656	1273.62939453125	1304.69995117188
